resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
Vent,,AT,Tyrol,Vent (Ötztal),Non-glacier,2026-12-18,estimated_from_2025_26,2646,15,51.0,51.0,EUR,estimated_from_2025_26,488,6.06,,3.0,4.5,"Tiny lift area (4 lifts) but Austria's classic high-alpine touring base: Venter Skirunde multi-day hut tour, Wildspitze, Similaun, Weisskugel, local guide office.",https://www.bergfex.com/vent/webcams/,"Included for ski touring (criterion 3). Single fixed 1-day price 51 EUR (2025/26). Road Soelden-Vent open in winter (temporary avalanche closures possible); Timmelsjoch closed. Elevation from skiresort.com. Base = Wildspitze double chair valley station in Vent (OSM). Aggregator/press lists a provisional 2026/27 opening of 2026-12-19, not confirmed by the operator; date shown is the 2025/26 opening shifted. Milan route forced via Ötztal Bahnhof to avoid closed Timmelsjoch.",https://www.oetztal.com/en/activities/winter/skiing-snowboarding/vent-ski-area/skipass-prices | https://www.skiresort.com/en/ski-resort/vent/ | https://www.bergfex.com/vent/ | https://www.skiinfo.de/tirol/saisoneroeffnung-skigebiete,medium
Engelberg,,CH,Obwalden,Engelberg–Titlis,Glacier + non-glacier,2026-10-10,confirmed_2026_27,3020,82,69.0,69.0,CHF,estimated_from_2025_26,250,3.26,,5.0,5.0,"Rubric example for both: Laub, Galtiberg and Steinberg glacier descents with 2000 m vertical, freeride guiding scene (Engelberg Mountain Guide, FWQ history); touring hub with Titlis, Sustenhorn, Jochpass/Engstlen, Spannort and Trift huts and strong guide culture.",https://www.engelberg.ch/en/webcams/,"Glacier autumn operation: Titlis glacier skiing opened 11.10.2025 (bergfex season data and regional press announcement; Blick 22.10.2025 lists Titlis among open areas); winter 2026/27 published start 10.10.2026 to 02.05.2027. Dynamic online pricing for the destination ski pass ('book early and reap the rewards'); titlis.ch blocks automated access (HTTP 429) and engelberg.ch only lists sub-area prices (Brunni day ticket CHF 48), so the adult peak day price is left blank - check titlis.ch shop. Titlis Rotair closed for maintenance 03-14.11.2025. Base = Titlis Xpress valley station Engelberg (car park). Route from Milan via Gotthard road tunnel-Stans-Engelberg, no pass closures. Dynamic pricing: skiinfo lists CHF 69 (2025/26) for an adult day pass, entry price from CHF 51 (titlis.ch).",https://www.bergfex.com/engelberg/ | https://www.skiresort.com/en/ski-resort/titlis-engelberg/ | https://www.engelberg.ch/en/cable-cars/prices-winter/ | https://www.engelberg.ch/en/webcams/ | https://news.google.com/rss/search?q=Titlis+Skisaison+startet+11.+Oktober+2025 | https://www.titlis.ch/en/tickets,medium
Diavolezza–Lagalb (Pontresina),,CH,Graubünden,Engadin St. Moritz (Val Bernina: Diavolezza–Lagalb; regional Engadin pass),Glacier + non-glacier,2026-10-17,confirmed_2026_27,3006,35,55.0,70.0,CHF,published_2026_27,185,3.25,,4.0,4.5,"Glacier freeride classic: 10 km Diavolezza-Morteratsch glacier run (longest secured glacier descent in CH), steep Lagalb faces and 10 km of marked ski routes, guiding via Pontresina; touring per rubric example (Bernina 4.5): Piz Palue, Bellavista, Piz Morteratsch, Piz Cambrena, Diavolezza/Boval huts, Bernina pass tours.",https://www.mountains.ch/de/webcam/,"Autumn operation: opened for skiing 18.10.2025 as the first Swiss non-glacier-piste ski area (press headlines Engadiner Post 18.10.2025, Presseportal 15.10.2025); skiresort.com season pattern mid-Oct to mid-Nov, then mid-Dec to early May (2026/27: 17.10.2026-02.05.2027). Pistes are on the Diavolezza/Lagalb slopes, the glacier descent is an unprepared marked route - hence Glacier + non-glacier. Engadin regional pass with Snow-Deal dynamic pricing ('from CHF 55', peak not published); a Diavolezza-only ticket may exist (not verified). Base = Diavolezza valley station on the Bernina pass road (car park); Bernina pass kept open in winter, direct route from Milan via Tirano-Poschiavo (Italian side). Engadin Snow-Deal dynamic pricing from CHF 55; CHF 70 for Sat 24 Jan 2026 (Blick comparison); no upper cap published.",https://www.skiresort.com/en/ski-resort/diavolezza-lagalb/ | https://news.google.com/rss/search?q=Diavolezza+Skisaison+eroeffnet+Oktober+2025 | https://www.presseportal.ch/de/suche/?q=Diavolezza | https://www.engadin.ch/en/guide/mountains-railways/mountain-railway-tariffs/winter-tariffs-mountain-railways/snow-deal | https://www.mountains.ch/de/webcam/,medium
Mürren – Schilthorn,,CH,Bern,Jungfrau Ski Region (Mürren-Schilthorn),Non-glacier,2026-10-31,estimated_from_2025_26,2970,211,83.0,83.0,CHF,estimated_from_2025_26,329,4.52,Stechelberg,4.0,4.0,"Steep, high-vertical off-piste from Schilthorn/Birg (Engetal couloirs, Kanonenrohr, Blumental, Schilthorn north-side itineraries) and the Inferno race heritage, but no FWT/FWQ venue history; touring: Sefinenfurgge, Rottal, Tschingelhorn/Petersgrat and Bluemlisalp-hut classics from Stechelberg/Muerren with Lauterbrunnen-valley guides.",https://schilthorn.ch/en/Infos/Live?c=1,"Car-free: road head Stechelberg (Schilthornbahn valley station, direct cable car to Muerren; alternative Lauterbrunnen via BLM cable car + train, both with car parks). 2025/26: weekend-only skiing 1/2, 8/9, 15/16 Nov 2025 (Muerren-Birg cable car, Riggli chair, Engetal pistes), continuous from 22.11.2025 to 26.04.2026. 2026/27 date 07.11.2026 is from skiresort.com (official jungfrau.ch pass validity starts 21.11.2026) - verify with Schilthornbahn. Fixed prices as Jungfrau Ski Region (CHF 79/83 high season 2025/26; pass valid uphill only on Muerren-Schilthorn top section). Schilthorn summit closed during 2025 cable-car rebuild, final new section opened 02.04.2026. Aggregator/press lists a provisional 2026/27 opening of 2026-11-07, not confirmed by the operator; date shown is the 2025/26 opening shifted. Milan route forced via Lucerne to avoid closed Susten.",https://www.plattformj.ch/artikel/237299/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://newsroom.de.schilthorn.ch/ | https://www.skiresort.com/en/ski-resort/schilthorn-muerren-lauterbrunnen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/ | https://www.jungfrau.ch/de-ch/jungfrau-ski-region/muerren-schilthorn/,medium
Saas-Fee,,CH,Valais,Saas-Fee (Saastal),Glacier + non-glacier,2026-10-31,confirmed_2026_27,3573,100,84.0,84.0,CHF,published_2026_27,226,3.30,Saas-Fee,4.0,4.5,"Glacier-based off-piste (Feechopf, Längfluh, Plattjen) with strong guide offices; classic 4000er ski tours (Allalinhorn, Alphubel, Strahlhorn, Britannia hut) give reliable high-alpine touring.",https://www.saas-fee.ch/en/webcams,"Glacier summer/autumn skiing from 12 Jul 2025 (2025/26) and 18 Jul 2026 (skiresort 2026/27 season 18 Jul 2026–18 Apr 2027); official season statement 'Saas-Fee 1 Nov 2026–18 Apr 2027' while the timetable shows first winter lifts Sat 31 Oct 2026. Fixed 1-day adult CHF 84 (2026/27, Saas-Fee + Saas-Almagell). Car-free village: car journey ends at the Parkhaus at the village entrance. Official 'up to 3600 m'; skiresort 3573 m. From Italy via Simplon.",https://www.saas-fee.ch/en/winter-in-the-saas-valley | https://www.saas-fee.ch/en/services-informationen/prices-timetables-cable-cars/timetables-cable-cars/timetables-cable-cars/winter/saas-fee | https://www.saas-fee.ch/en/winter-in-the-saas-valley/ski-pass-prices/saas-fee | https://www.skiresort.com/en/ski-resort/saas-fee/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.blick.ch/fr/suisse/montagne-ces-stations-de-ski-sont-deja-ouvertes-au-public/d16tb7x,medium
Zermatt,,CH,Valais,Matterhorn Ski Paradise (Zermatt–Cervinia),Glacier + non-glacier,2026-11-01,year_round_glacier,3883,200,88.0,96.0,CHF,estimated_from_2025_26,230,3.35,Täsch,5.0,5.0,"World-class off-piste (Stockhorn/Rote Nase, Schwarztor, Klein Matterhorn glacier itineraries) with deep guide culture; Haute Route terminus and 4000er ski tours (Breithorn, Monte Rosa) make it a global touring hub.",https://www.matterhornparadise.ch/en/information/webcams,"Year-round glacier skiing (365 days, Matterhorn glacier paradise). 2025/26 winter timetable from 1 Nov 2025 (Klein Matterhorn–Trockener Steg), other sectors 29 Nov and 6 Dec 2025; 2026/27 winter product 1 Nov 2026–3 May 2027. Dynamic pricing: official page shows only 'from CHF 89' (Zermatt) and 'from CHF 104' (International) for 2026/27; skiinfo lists Zermatt day pass CHF 96, skiresort CHF 116 (likely International peak). Car-free: park at Matterhorn Terminal Täsch (shuttle train). Official top 3883 m; skiresort 3899 m. From Italy via Simplon (car train Iselle–Brig as backup). Price range: CHF 88 (Sat 24 Jan 2026, Blick comparison) to CHF 96 (skiinfo list); International pass up to about CHF 116.",https://www.matterhornparadise.ch/en/information/tickets-prices/ski-passes | https://www.matterhornparadise.ch/en/experience/skiing | https://www.matterhornchalets.com/2025/10/25/zermatt-opening-dates-winter-2025-26/ | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.skiinfo.de/wallis/zermatt/skipaesse | https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/ | https://www.matterhornparadise.ch/en/information/operating-hours/lifts-and-pistes,medium
Les Diablerets – Glacier 3000,,CH,Vaud,"Villars–Gryon–Les Diablerets / Glacier 3000 (Alpes Vaudoises, Gstaad)",Glacier + non-glacier,2026-11-07,confirmed_2026_27,3016,28,79.0,79.0,CHF,estimated_from_2025_26,315,4.40,,3.5,3.5,"Glacier freeride itineraries (Combe d'Audon/Black Wall, Martisberg) and a dedicated ski-tourer gondola; touring to Les Diablerets summit, Oldenhorn and Sanetsch.",https://www.glacier3000.ch/en/webcams/,Base = Col du Pillon cable car (drive-to; Col du Pillon kept open in winter). Glacier skiing typically early Nov to late Apr/May (skiresort 2026/27: 7 Nov 2026–30 Apr 2027; official ticketing lists Magic Pass winter 07.11.2026–30.04.2027). Les Diablerets village slopes (Meilleret) are on the Villars–Gryon–Les Diablerets pass (bergfex village season 5 Dec 2025). bergfex CHF 84 = Vaud Alps pass; skiresort Glacier 3000 CHF 79. From Italy via Great St Bernard tunnel or Simplon.,https://www.glacier3000.ch/en | https://www.glacier3000.ch/en/ticketing/ | https://www.24heures.ch/glacier-3000-la-saison-de-ski-ouvrira-le-8-novembre-109965196398 | https://www.watson.ch/schweiz/winter/423823282-skigebiete-schweiz-saisonstart-und-saisonende | https://www.skiresort.com/en/ski-resort/glacier-3000-les-diablerets/ | https://www.bergfex.com/les-diablerets/ | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/,medium
Davos,,CH,Graubünden,Davos Klosters (Parsenn/Jakobshorn/Pischa/Rinerhorn/Madrisa/Schatzalp),Non-glacier,2026-11-13,confirmed_2026_27,2844,255,86.0,86.0,CHF,estimated_from_2025_26,243,3.48,,4.0,4.0,"Rubric example (4.0/4.0): Parsenn/Weissfluh long off-piste descents to the Praettigau, Pischa as dedicated freeride mountain, Jakobshorn side-country, historic Parsenn Derby; touring: Fluela and Dischma/Sertig valleys, Fluela Schwarzhorn, Piz Grialetsch, Kesch and Silvretta hut tours - many documented day tours.",https://www.davosklostersmountains.ch/de/mountains/winter/live-info/webcams,"2025/26: Parsenn opened 07.11.2025 (a week earlier than planned, weekends only), continuous operation from 21.11.2025 (official news). Dynamic online pricing (cheaper online/early); CHF 86 = skiresort.com main-season adult figure, official peak range not published as a table. Access from Milan: Flueela pass closed in winter - via the Engadin and the Vereina car train (Sagliains-Klosters) or via San Bernardino-Chur-Landquart-Klosters-Wolfgang (road open). Base = Parsennbahn funicular valley station Davos Dorf (car park); Jakobshorn base at Davos Platz.",https://www.davosklostersmountains.ch/de/mountains/aktuelles/news-blog/Winter-Saisonstart-Davos-Klosters_bba_13823 | https://www.davosklostersmountains.ch/de | https://www.skiresort.com/en/ski-resort/parsenn-davos-klosters/ | https://www.davosklostersmountains.ch/de/mountains/winter/live-info/webcams,medium
Klosters,,CH,Graubünden,Davos Klosters (Parsenn via Gotschna / Madrisa),Non-glacier,2026-11-13,confirmed_2026_27,2844,255,86.0,86.0,CHF,estimated_from_2025_26,254,3.67,,4.0,4.0,"Shares Parsenn with Davos (Gotschnawang/Drostobel and Parsenn descents to Kueblis and Klosters are freeride classics) plus Madrisa off-piste; touring: Silvretta and Vereina huts, Madrisa-Gargellen crossing, Casanna/Weissfluh tours - many documented day tours.",https://www.davosklostersmountains.ch/de/mountains/winter/live-info/webcams,"2025/26 date refers to the shared Parsenn area (opened from the Davos side 07.11.2025, weekends); the Klosters Gotschnabahn may have started later (daily operation from 21.11.2025) - verify. Madrisa (Klosters Dorf) opens later (2026/27: 17.12.2026 per skiresort.com). Same dynamic pricing and CHF 86 list figure as Davos. Base = Gotschnabahn valley station Klosters Platz (railway station, car park). Access from Milan via the Engadin + Vereina car train (Sagliains-Klosters Selfranga) or via Chur-Landquart-Klosters; Flueela closed.",https://www.davosklostersmountains.ch/de/mountains/aktuelles/news-blog/Winter-Saisonstart-Davos-Klosters_bba_13823 | https://www.skiresort.com/en/ski-resort/parsenn-davos-klosters/ | https://www.skiresort.com/en/ski-resort/madrisa-davos-klosters/ | https://www.davosklostersmountains.ch/de,medium
Andermatt,,CH,Uri,SkiArena Andermatt-Sedrun-Disentis (Gemsstock + Naetschen-Oberalp-Sedrun),Non-glacier,2026-11-14,confirmed_2026_27,2961,180,89.0,89.0,CHF,estimated_from_2025_26,186,2.42,,4.5,5.0,"Rubric example: Gemsstock is a top-tier lift-served freeride mountain (Guspis, Felsental, Giraffe, Sonnenpiste variants) with strong guiding scene and FWQ/Open Faces history; touring hub of the Gotthard/Urseren region (Pizzo Centrale, Piz Badus, Maighels and Vermigel huts, Winterluecke-Realp classics) with deep guide culture.",https://www.andermatt-sedrun-disentis.ch/de/webcam,"Dynamic pricing: day-pass prices set daily (weekday, booking date, weather); CHF 89 = skiresort.com main-season adult figure (skiinfo 2024/25 list also 89), official 2025/26 peak range not published as a table - dynamic pricing. 2025/26 Gemsstock first ski day not found (Urner Zeitung reports season-opening event 09.12.2025; regional press indicates Central Swiss resorts started ~22.11.2025) - verify. Oberalp pass closed in winter (Andermatt-Sedrun link by ski/train only, car train not counted); from Milan via Gotthard road tunnel and Schoellenen road (open). Base = Andermatt railway station / Guetsch-Express valley station car parks; Gemsstock cable car 500 m away. 2026/27 date is a resort-supplied season entry on an aggregator (skiresort.com/bergfex); no operator publication found and no 2025/26 date available.",https://www.skiresort.com/en/ski-resort/gemsstock-andermatt/ | https://www.skiresort.com/en/ski-resort/andermatt-oberalp-sedrun/ | https://www.andermatt-sedrun-disentis.ch/en/ | https://www.skiinfo.de/zentralschweiz/andermatt-sedrun/skipaesse | https://news.google.com/rss/search?q=Andermatt+Gemsstock+Saisonstart+2025,low
Nendaz,,CH,Valais,4 Vallées (Printse sector: Nendaz–Veysonnaz–Thyon),Glacier + non-glacier,2026-11-14,confirmed_2026_27,2700,220,79.0,79.0,CHF,published_2026_27,262,3.75,,4.0,4.0,"Nendaz Freeride FWQ venue (Mont Gond) plus Tortin/Gentianes/Mont Fort off-piste and 6 marked freetracks; documented day tours (Rosablanche, Cleuson/Prafleuri) and a Haute Route variant via Cabane de Prafleuri.",https://www.nendaz.ch/en/Z13326/webcams,"Max 3330 m (Mont Fort, co-managed by NV Remontées Mécaniques and Téléverbier) requires the 4 Vallées pass (CHF 94 in 2026/27); Printse pass tops out lower (Greppon Blanc/Plan du Fou). Printse 1-day adult CHF 79 per skiinfo (2026/27); official shop uses online discounts (page data shows 'from CHF 62'). Base = Haute-Nendaz Tracouet gondola. From Italy via Great St Bernard tunnel or Simplon. Top of local Printse pass ~2700 m (Greppon Blanc); Mont Fort 3330 m reachable only with the full 4 Vallées pass.",https://www.nendaz.ch/en/Z13484/ski-area | https://www.skiinfo.fr/valais/veysonnaz/forfaits-de-ski | https://shop.nendazveysonnaz.ch/en/products/ski-printse | https://www.bergfex.com/nendaz/preise/ | https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.skiinfo.fr/valais/dates-ouverture-stations | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/,medium
Gstaad,,CH,Bern,"Gstaad Mountain Rides (Saanenland: Rinderberg-Saanersloch-Horneggli, Eggli-La Videmanette, Wispile, Wasserngrat)",Non-glacier,2026-11-20,confirmed_2026_27,2151,200,84.0,94.0,CHF,published_2026_27,332,4.71,,3.0,3.5,"Low, gentle terrain (mostly below 2200 m) with limited off-piste (Videmanette, Wasserngrat) and no freeride event history; touring is pleasant but moderate: Wispile, Hornfluh, Lauenen/Wildhorn hut and Gsteig/Sanetsch tours, Glacier 3000 approaches, local guide offices.",https://bergbahnen-gstaad.ch/en/winter/information/webcams,"2025/26: first lifts (Saanersloch-Hornberg) opened 28.11.2025, full operation reached by 20.12.2025; Glacier 3000 (Les Diablerets, 3016 m) opened 08.11.2025 but is NOT included in the 1-day Gstaad ticket (included in multi-day tickets, separate day ticket sold). Max elevation 2151 m = La Videmanette (Rougemont), Rinderberg/Saanersloch sector tops at 2011 m. Pricing: from 2026/27 day tickets have fixed seasonal prices (dynamic pricing dropped for day/half-day tickets, kept for multi-day); CHF 94 = skiresort.com main-season 2026/27 figure, official price table only inside the ticketcorner shop (2026/27 group day ticket CHF 76 for 10+ pax) - verify. Magic Pass partner since 2025/26. Base = Gstaad Eggli gondola valley station car park. Route from Milan via Simplon-Montreux-Col des Mosses or Bern-Zweisimmen; no winter pass closure. CHF 84 = 2025/26 peak-season fixed day ticket (Blick); CHF 94 = 2026/27 figure per skiresort.com (official table only in Ticketcorner).",https://www.presseportal.ch/de/pm/100097903/100936912 | https://bergbahnen-gstaad.ch/en/winter/tariffs-shop/winter-tariff-overview | https://bow.datacycle.cloud/assets/preisliste-gruppen-en-wi-26-27-1.pdf | https://bergbahnen-gstaad.ch/en/winter | https://www.skiresort.com/en/ski-resort/rinderberg-saanersloch-horneggli-zweisimmen-saanenmoeser-schoenried-st-stephan/ | https://www.skiinfo.de/gstaad-und-umgebung/gstaad/skipaesse,medium
Arolla,,CH,Valais,Arolla (Val d'Hérens),Non-glacier,2026-11-21,confirmed_2026_27,2877,27,50.0,50.0,CHF,estimated_from_2025_26,283,4.15,,3.0,4.5,"Few lifts but wild off-piste; Arolla is a classic Haute Route stage with Pigne d'Arolla, Mont Blanc de Cheilon and Vignettes/Dix hut tours and a long guide tradition.",https://www.arolla.com/webcam/index.php,"Small lift area: 2026/27 weekends and holidays from 21 Nov 2026, season to 18 Apr 2027 (skiresort same). Espace Dent-Blanche pass links Arolla/Evolène/La Forclaz (>100 km, 1400–3000 m). bergfex shows only the CHF 50 pre/late-season 2025/26 price (skiresort also 50). Base = Arolla village lifts (drive-to). From Italy via Great St Bernard tunnel or Simplon (Sion–Val d'Hérens).",https://www.evolene-region.ch/fr/commerces-services/sommaire-portail-general-evo/mobilite-et-transports/sommaire-portail-general-evo/remontees-mecaniques-hiver/espace-dent-blanche-evolene-region | https://www.arolla.com/ | https://www.bergfex.com/arolla/preise/ | https://www.skiresort.com/en/ski-resort/arolla/ | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/ | https://www.skiinfo.fr/valais/dates-ouverture-stations,medium
Corvatsch – Silvaplana/Sils,,CH,Graubünden,Engadin St. Moritz (Corvatsch–Furtschellas; regional Engadin pass),Glacier + non-glacier,2026-11-21,confirmed_2026_27,3303,120,55.0,70.0,CHF,published_2026_27,165,3.01,,4.0,4.5,"Strong glacier-based freeride from the 3303 m summit (Corvatsch glacier descents, Fuorcla Surlej, Hahnensee itinerary, 'big-mountain feel' per skiresort.com) with local guiding but no FWT stop; touring per rubric example (Sils/Bernina 4.5): Piz Corvatsch, Fuorcla Surlej-Roseg, Piz Fora/Val Fex, Coaz and Tschierva huts.",https://www.mountains.ch/de/webcam/,"Official press release 'Sportberg Corvatsch eroeffnet Wintersaison' (19.11.2025): 'Am kommenden Samstag, 22. November 2025, startet der Corvatsch in die Skisaison' (Corvatsch Snow Night, Superpipe). Same Engadin regional pass and Snow-Deal dynamic pricing as St. Moritz ('from CHF 55', peak price not published). Base = Corvatsch cable-car valley station Surlej (Silvaplana), large car park; Furtschellas base at Sils. Route from Milan via Chiavenna-Maloja (open, Surlej is 10 min from Maloja side) or Bernina pass; Julier open. Engadin Snow-Deal dynamic pricing from CHF 55; CHF 70 for Sat 24 Jan 2026 (Blick comparison); no upper cap published.",https://www.skiresort.com/en/ski-resort/corvatsch-furtschellas/ | https://www.presseportal.ch/de/pm/100062485/100936711 | https://www.engadin.ch/en/guide/mountains-railways/mountain-railway-tariffs/winter-tariffs-mountain-railways/snow-deal | https://www.skiinfo.de/graubuenden/corvatsch/skipaesse | https://www.mountains.ch/de/webcam/,low
Flumserberg,,CH,St. Gallen,Flumserberg,Non-glacier,2026-11-21,estimated_from_2025_26,2222,65,74.0,74.0,CHF,estimated_from_2025_26,268,3.53,,3.0,3.5,"Mainly groomed family/intermediate resort with a few short off-piste variants below Leist/Maschgenkamm and no freeride event history; touring is decent locally (Spitzmeilen hut, Wissmilen, Magerrain tours from Tannenboden/Prodkamm) but limited variety.",https://www.flumserberg.ch/webcam,"2025/26: press headlines (Linth24 21.11.2025 'Flumserberg startet Wintersaison', Vaterland 20.11.2025 'Pizol und Flumserberg starten frueher') indicate a start on the weekend of 22.11.2025 (exact first day 21 or 22.11 - verify). 2026/27: official page says start is flexible, expected late November/early December, season ends 29.03.2027 (skiresort.com placeholder 16.11.2026 not used). Price CHF 74 = skiresort.com main-season adult figure (skiinfo 2024/25 listed 68); official tariff page loads prices dynamically - verify. SeeJet gondola (Unterterzen) closed for revision 30.03-11.06.2027. Base = Tannenboden (Tannenbodenalp, Maschgenkamm gondola, car parks; road open). Route from Milan via Gotthard-Zurich-A3 or San Bernardino-Chur-A13/A3; no pass closures.",https://www.flumserberg.ch/betriebszeiten | https://www.flumserberg.ch/tarife-tickets | https://www.skiresort.com/en/ski-resort/flumserberg/ | https://www.skiinfo.de/ostschweiz/flumserberg/skipaesse | https://news.google.com/rss/search?q=Flumserberg+Saisonstart+Wintersaison+2025,medium
Grimentz–Zinal,,CH,Valais,Val d'Anniviers,Non-glacier,2026-11-21,confirmed_2026_27,2900,115,73.0,73.0,CHF,estimated_from_2025_26,250,3.59,,4.0,4.0,"Renowned Valais freeride area (Grimentz Lona/Orzival and Zinal Sorebois faces) with FWQ history; Zinal is a touring hub (Bishorn via Cabane de Tracuit, Imperial Crown huts).",https://www.valdanniviers.ch/en/Z21601/noswebcams-en,"2026/27 official: Bendolla and Sorebois weekends from 21 Nov 2026, daily 18 Dec 2026–11 Apr 2027 (skiresort lists 28 Nov, skiinfo 5 Dec). skiinfo listed planned 2025/26 weekend openings from 15 Nov 2025; first verified operation 29–30 Nov 2025. Prices: skiresort CHF 73 (2025/26), skiinfo CHF 72 (2024/25); official tariff page is script-rendered. Base = Grimentz–Bendolla gondola. From Italy via Simplon.",https://www.valdanniviers.ch/fr/Z15372/horaires-rmgz | https://www.valdanniviers.ch/fr/Z30511/domaine-rmgz | https://www.skiinfo.fr/valais/grimentz-zinal/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/grimentz-zinal/ | https://www.blick.ch/fr/suisse/romande/ski-des-stations-romandes-ouvrent-des-ce-week-end/69hvzcj | https://www.skiresort.com/en/snow-reports/seasonstart/switzerland/,medium
Grindelwald,,CH,Bern,Jungfrau Ski Region (Grindelwald-Wengen + First),Non-glacier,2026-11-21,confirmed_2026_27,2500,211,83.0,83.0,CHF,estimated_from_2025_26,331,4.53,,3.5,4.5,"No FWT/FWQ history and a piste-oriented region, but real off-piste at First (Baergelegg/Schwarzhorn side) and Eigergletscher-Wixi; touring per rubric example: Jungfraujoch railway gives access to Moench/Jungfrau/Loetschenluecke-Konkordia glacier classics plus Faulhorn/Schwarzhorn day tours, strong guide scene (Grindelwald Sports/Bergsteigerzentrum).",https://www.jungfrau.ch/en-gb/live/webcams/,"Fixed prices, no dynamic pricing: 2025/26 day pass CHF 79 regular, CHF 83 high season (20.12.2025-04.01.2026 and 31.01-01.03.2026); 2026/27 pass published as from CHF 79, high-season surcharge not yet published; season 21.11.2026-25.04.2027. 2025/26: planned weekend start Kleine Scheidegg 15.11.2025 snow permitting (not confirmed), continuous operation from 29.11.2025, Maennlichen 13.12, First 20.12.2025. Max elevation 2500 m = First/Oberjoch per skiresort.com (Kleine Scheidegg-Maennlichen sector 2400 m). Base = Grindelwald Terminal (Eiger Express/Maennlichen gondolas, car park). Route from Milan via Simplon or Gotthard-Interlaken, no winter pass closure on route. Milan route forced via Lucerne to avoid closed Susten.",https://www.jungfrau.ch/en-gb/jungfrau-ski-region/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://www.plattformj.ch/artikel/238202/ | https://www.skiresort.com/en/ski-resort/kleine-scheidegg-maennlichen-grindelwald-wengen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/ | https://www.bergfex.com/jungfrau-grindelwald-wengen/ | https://www.skiinfo.de/berner-oberland/grindelwald-wengen/skipaesse,medium
Wengen,,CH,Bern,Jungfrau Ski Region (Grindelwald-Wengen),Non-glacier,2026-11-21,confirmed_2026_27,2400,211,83.0,83.0,CHF,estimated_from_2025_26,324,4.38,Lauterbrunnen,3.0,4.0,"Mainly on-piste intermediate terrain (Lauberhorn/Maennlichen), limited off-piste around Wixi-Fallboden and Eigergletscher, no freeride event history; touring benefits from the Jungfraujoch railway (Moench, Loetschenluecke, Konkordia) and Lauterbrunnen-valley tours but the guide scene sits in Grindelwald/Lauterbrunnen.",https://www.jungfrau.ch/en-gb/live/webcams/,"Car-free village: road head Lauterbrunnen (multi-storey car park at the station, then WAB rack railway to Wengen). Same Jungfrau Ski Region pass and fixed prices as Grindelwald (CHF 79 regular / 83 high season 2025/26; 2026/27 from CHF 79). Max elevation 2400 m per skiresort.com, not confirmed on official site. Season 2026/27 21.11.2026-25.04.2027. Milan route forced via Lucerne to avoid closed Susten.",https://www.jungfrau.ch/en-gb/jungfrau-ski-region/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://www.plattformj.ch/artikel/238202/ | https://www.skiresort.com/en/ski-resort/kleine-scheidegg-maennlichen-grindelwald-wengen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/,medium
